name	type	units	low_cutoff	high_cutoff	status
T1aId1	SEEG	µV	0.0	1024	good
T1aId2	SEEG	µV	0.0	1024	good
T1aId3	SEEG	µV	0.0	1024	good
T1aId4	SEEG	µV	0.0	1024	good
T1aId5	SEEG	µV	0.0	1024	good
T1aId6	SEEG	µV	0.0	1024	good
T1aId7	SEEG	µV	0.0	1024	good
T1aId8	SEEG	µV	0.0	1024	good
T2A1	SEEG	µV	0.0	1024	good
T2A2	SEEG	µV	0.0	1024	good
T2A3	SEEG	µV	0.0	1024	good
T2A4	SEEG	µV	0.0	1024	good
T2A5	SEEG	µV	0.0	1024	bad
T2A6	SEEG	µV	0.0	1024	bad
T2A7	SEEG	µV	0.0	1024	bad
T2A8	SEEG	µV	0.0	1024	bad
T2A9	SEEG	µV	0.0	1024	good
T2A10	SEEG	µV	0.0	1024	good
T2A11	SEEG	µV	0.0	1024	good
T2A12	SEEG	µV	0.0	1024	good
T2A13	SEEG	µV	0.0	1024	good
T2A14	SEEG	µV	0.0	1024	good
T3H1	SEEG	µV	0.0	1024	bad
T3H2	SEEG	µV	0.0	1024	bad
T3H3	SEEG	µV	0.0	1024	good
T3H4	SEEG	µV	0.0	1024	good
T3H5	SEEG	µV	0.0	1024	good
T3H6	SEEG	µV	0.0	1024	good
T3H7	SEEG	µV	0.0	1024	good
T3H8	SEEG	µV	0.0	1024	good
T3H9	SEEG	µV	0.0	1024	good
T3H10	SEEG	µV	0.0	1024	good
T3H11	SEEG	µV	0.0	1024	good
T3H12	SEEG	µV	0.0	1024	good
T1bIF1	SEEG	µV	0.0	1024	good
T1bIF2	SEEG	µV	0.0	1024	good
T1bIF3	SEEG	µV	0.0	1024	good
T1bIF4	SEEG	µV	0.0	1024	good
T1bIF5	SEEG	µV	0.0	1024	good
T1bIF6	SEEG	µV	0.0	1024	good
T1bIF7	SEEG	µV	0.0	1024	good
T1bIF8	SEEG	µV	0.0	1024	good
F3aOFa1	SEEG	µV	0.0	1024	good
F3aOFa2	SEEG	µV	0.0	1024	good
F3aOFa3	SEEG	µV	0.0	1024	good
F3aOFa4	SEEG	µV	0.0	1024	good
F3aOFa5	SEEG	µV	0.0	1024	good
F3aOFa6	SEEG	µV	0.0	1024	good
F3aOFa7	SEEG	µV	0.0	1024	good
F3aOFa8	SEEG	µV	0.0	1024	good
F3aOFa9	SEEG	µV	0.0	1024	good
F3aOFa10	SEEG	µV	0.0	1024	bad
F3aOFa11	SEEG	µV	0.0	1024	good
F3aOFa12	SEEG	µV	0.0	1024	good
F3aOFa13	SEEG	µV	0.0	1024	good
F3aOFa14	SEEG	µV	0.0	1024	good
F3aOFa15	SEEG	µV	0.0	1024	good
F3aOFa16	SEEG	µV	0.0	1024	good
