name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt	barista_parcel_index	barista_lobe_index
T1aId1	163	131	111	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula	20	15
T1aId2	166	132	111	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula	20	15
T1aId3	169	134	110	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_insular_short	ctx-lh-superiortemporal	20	9
T1aId4	173	135	110	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
T1aId5	176	136	109	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal	33	9
T1aId6	180	138	108	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1aId7	183	139	109	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1aId8	185	139	109	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T2A1	140	142	116	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A2	143	143	116	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A3	147	144	116	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A4	150	144	116	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A5	153	145	116	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A6	158	144	116	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_S_circular_insula_inf	ctx-lh-insula	45	15
T2A7	160	145	116	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
T2A8	163	145	114	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
T2A9	169	146	117	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
T2A10	171	146	116	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
T2A11	174	148	117	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
T2A12	177	149	116	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
T2A13	181	149	116	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
