name	type	units	low_cutoff	high_cutoff	status
LT2H1	SEEG	µV	0.0	1024	good
LT2H2	SEEG	µV	0.0	1024	good
LT2H3	SEEG	µV	0.0	1024	good
LT2H4	SEEG	µV	0.0	1024	good
LT2H5	SEEG	µV	0.0	1024	good
LT2H6	SEEG	µV	0.0	1024	good
LT2H7	SEEG	µV	0.0	1024	good
LT2H8	SEEG	µV	0.0	1024	good
LT2H9	SEEG	µV	0.0	1024	good
LT2H10	SEEG	µV	0.0	1024	good
LT2H11	SEEG	µV	0.0	1024	good
LT2H12	SEEG	µV	0.0	1024	good
LT2H13	SEEG	µV	0.0	1024	good
LT2H14	SEEG	µV	0.0	1024	good
LT2H15	SEEG	µV	0.0	1024	good
LT2H16	SEEG	µV	0.0	1024	good
LT1A1	SEEG	µV	0.0	1024	good
LT1A2	SEEG	µV	0.0	1024	good
LT1A3	SEEG	µV	0.0	1024	good
LT1A4	SEEG	µV	0.0	1024	good
LT1A5	SEEG	µV	0.0	1024	good
LT1A6	SEEG	µV	0.0	1024	good
LT1A7	SEEG	µV	0.0	1024	good
LT1A8	SEEG	µV	0.0	1024	good
LT1A9	SEEG	µV	0.0	1024	good
LT1A10	SEEG	µV	0.0	1024	good
LT1A11	SEEG	µV	0.0	1024	good
LT1A12	SEEG	µV	0.0	1024	good
LT1A13	SEEG	µV	0.0	1024	good
LT1A14	SEEG	µV	0.0	1024	good
LF3aOFa1	SEEG	µV	0.0	1024	good
LF3aOFa2	SEEG	µV	0.0	1024	good
LF3aOFa3	SEEG	µV	0.0	1024	good
LF3aOFa4	SEEG	µV	0.0	1024	good
LF3aOFa5	SEEG	µV	0.0	1024	good
LF3aOFa6	SEEG	µV	0.0	1024	good
LF3aOFa7	SEEG	µV	0.0	1024	good
LF3aOFa8	SEEG	µV	0.0	1024	good
LF3aOFa9	SEEG	µV	0.0	1024	good
LF3aOFa10	SEEG	µV	0.0	1024	good
LF3aOFa11	SEEG	µV	0.0	1024	good
LF3aOFa12	SEEG	µV	0.0	1024	good
LF3aOFa13	SEEG	µV	0.0	1024	good
LF3aOFa14	SEEG	µV	0.0	1024	good
LF3aOFa15	SEEG	µV	0.0	1024	good
LF3aOFa16	SEEG	µV	0.0	1024	good
LF3cIc1	SEEG	µV	0.0	1024	good
LF3cIc2	SEEG	µV	0.0	1024	good
LF3cIc3	SEEG	µV	0.0	1024	good
LF3cIc4	SEEG	µV	0.0	1024	good
LF3cIc5	SEEG	µV	0.0	1024	good
LF3cIc6	SEEG	µV	0.0	1024	good
LF3cIc7	SEEG	µV	0.0	1024	good
LF3cIc8	SEEG	µV	0.0	1024	good
LF3cIc9	SEEG	µV	0.0	1024	good
LF3cIc10	SEEG	µV	0.0	1024	good
LF3bOFb1	SEEG	µV	0.0	1024	good
LF3bOFb2	SEEG	µV	0.0	1024	good
LF3bOFb3	SEEG	µV	0.0	1024	good
LF3bOFb4	SEEG	µV	0.0	1024	good
LF3bOFb5	SEEG	µV	0.0	1024	good
LF3bOFb6	SEEG	µV	0.0	1024	good
LF3bOFb7	SEEG	µV	0.0	1024	good
LF3bOFb8	SEEG	µV	0.0	1024	good
LF3bOFb9	SEEG	µV	0.0	1024	good
LF3bOFb10	SEEG	µV	0.0	1024	good
LF3bOFb11	SEEG	µV	0.0	1024	good
LF3bOFb12	SEEG	µV	0.0	1024	good
LF3bOFb13	SEEG	µV	0.0	1024	good
LF3bOFb14	SEEG	µV	0.0	1024	good
LF3bOFb15	SEEG	µV	0.0	1024	good
LF3bOFb16	SEEG	µV	0.0	1024	good
LF2b1	SEEG	µV	0.0	1024	good
LF2b2	SEEG	µV	0.0	1024	good
LF2b3	SEEG	µV	0.0	1024	good
LF2b4	SEEG	µV	0.0	1024	good
LF2b5	SEEG	µV	0.0	1024	good
LF2b6	SEEG	µV	0.0	1024	good
LF2b7	SEEG	µV	0.0	1024	good
LF2b8	SEEG	µV	0.0	1024	good
LF2b9	SEEG	µV	0.0	1024	good
LF2b10	SEEG	µV	0.0	1024	good
LF2b11	SEEG	µV	0.0	1024	good
LF2b12	SEEG	µV	0.0	1024	good
LF2b13	SEEG	µV	0.0	1024	good
