name	x	y	z	size	material
LF3cIc4	n/a	n/a	n/a	n/a	platinum-iridium
LF3cIc5	n/a	n/a	n/a	n/a	platinum-iridium
LF3cIc6	n/a	n/a	n/a	n/a	platinum-iridium
LF3cIc7	n/a	n/a	n/a	n/a	platinum-iridium
LF3cIc8	n/a	n/a	n/a	n/a	platinum-iridium
LF3cIc9	n/a	n/a	n/a	n/a	platinum-iridium
LF3cIc10	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb1	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb2	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb3	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb4	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb5	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb6	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb7	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb8	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb9	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb10	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb11	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb12	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb13	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb14	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb15	n/a	n/a	n/a	n/a	platinum-iridium
LF3bOFb16	n/a	n/a	n/a	n/a	platinum-iridium
LF2b1	n/a	n/a	n/a	n/a	platinum-iridium
LF2b2	n/a	n/a	n/a	n/a	platinum-iridium
LF2b3	n/a	n/a	n/a	n/a	platinum-iridium
LF2b4	n/a	n/a	n/a	n/a	platinum-iridium
LF2b5	n/a	n/a	n/a	n/a	platinum-iridium
LF2b6	n/a	n/a	n/a	n/a	platinum-iridium
LF2b7	n/a	n/a	n/a	n/a	platinum-iridium
LF2b8	n/a	n/a	n/a	n/a	platinum-iridium
LF2b9	n/a	n/a	n/a	n/a	platinum-iridium
LF2b10	n/a	n/a	n/a	n/a	platinum-iridium
LF2b11	n/a	n/a	n/a	n/a	platinum-iridium
LF2b12	n/a	n/a	n/a	n/a	platinum-iridium
LF2b13	n/a	n/a	n/a	n/a	platinum-iridium
LF2b14	n/a	n/a	n/a	n/a	platinum-iridium
LF2e1	n/a	n/a	n/a	n/a	platinum-iridium
LF2e2	n/a	n/a	n/a	n/a	platinum-iridium
LF2e3	n/a	n/a	n/a	n/a	platinum-iridium
LF2e4	n/a	n/a	n/a	n/a	platinum-iridium
LF2e5	n/a	n/a	n/a	n/a	platinum-iridium
LF2e6	n/a	n/a	n/a	n/a	platinum-iridium
LF2e7	n/a	n/a	n/a	n/a	platinum-iridium
LF2e8	n/a	n/a	n/a	n/a	platinum-iridium
LF2c1	n/a	n/a	n/a	n/a	platinum-iridium
LF2c2	n/a	n/a	n/a	n/a	platinum-iridium
LF2c3	n/a	n/a	n/a	n/a	platinum-iridium
LF2c4	n/a	n/a	n/a	n/a	platinum-iridium
LF2c5	n/a	n/a	n/a	n/a	platinum-iridium
LF2c6	n/a	n/a	n/a	n/a	platinum-iridium
LF2c7	n/a	n/a	n/a	n/a	platinum-iridium
LF2c8	n/a	n/a	n/a	n/a	platinum-iridium
LF2d1	n/a	n/a	n/a	n/a	platinum-iridium
LF2d2	n/a	n/a	n/a	n/a	platinum-iridium
LF2d3	n/a	n/a	n/a	n/a	platinum-iridium
LF2d4	n/a	n/a	n/a	n/a	platinum-iridium
LF2d5	n/a	n/a	n/a	n/a	platinum-iridium
LF2d6	n/a	n/a	n/a	n/a	platinum-iridium
LF2d7	n/a	n/a	n/a	n/a	platinum-iridium
LF2d8	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa1	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa2	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa3	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa4	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa5	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa6	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa7	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa8	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa9	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa10	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa11	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa12	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa13	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa14	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa15	n/a	n/a	n/a	n/a	platinum-iridium
LF2aIa16	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF1	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF2	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF3	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF4	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF5	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF6	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF7	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF8	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF9	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF10	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF11	n/a	n/a	n/a	n/a	platinum-iridium
LF1aCaOF12	n/a	n/a	n/a	n/a	platinum-iridium
