name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt	barista_parcel_index	barista_lobe_index
iEEG000	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG001	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG002	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG003	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG004	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG005	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG006	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG007	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG008	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG009	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG010	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG011	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG012	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG013	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG014	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG015	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG016	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG017	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG018	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG019	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
iEEG020	n/a	n/a	n/a	n/a	n/a	n/a	depth	n/a	n/a	n/a	0	0
