name	type	units	low_cutoff	high_cutoff	status
iEEG000	SEEG	µV	0.0	1024	good
iEEG001	SEEG	µV	0.0	1024	good
iEEG002	SEEG	µV	0.0	1024	good
iEEG003	SEEG	µV	0.0	1024	good
iEEG004	SEEG	µV	0.0	1024	good
iEEG005	SEEG	µV	0.0	1024	good
iEEG006	SEEG	µV	0.0	1024	good
iEEG007	SEEG	µV	0.0	1024	good
iEEG008	SEEG	µV	0.0	1024	good
iEEG009	SEEG	µV	0.0	1024	good
iEEG010	SEEG	µV	0.0	1024	good
iEEG011	SEEG	µV	0.0	1024	good
iEEG012	SEEG	µV	0.0	1024	good
iEEG013	SEEG	µV	0.0	1024	good
iEEG014	SEEG	µV	0.0	1024	good
iEEG015	SEEG	µV	0.0	1024	good
iEEG016	SEEG	µV	0.0	1024	good
iEEG017	SEEG	µV	0.0	1024	good
iEEG018	SEEG	µV	0.0	1024	good
iEEG019	SEEG	µV	0.0	1024	good
iEEG020	SEEG	µV	0.0	1024	good
iEEG021	SEEG	µV	0.0	1024	good
iEEG022	SEEG	µV	0.0	1024	good
iEEG023	SEEG	µV	0.0	1024	good
iEEG024	SEEG	µV	0.0	1024	good
iEEG025	SEEG	µV	0.0	1024	good
iEEG026	SEEG	µV	0.0	1024	good
iEEG027	SEEG	µV	0.0	1024	good
iEEG028	SEEG	µV	0.0	1024	good
iEEG029	SEEG	µV	0.0	1024	good
iEEG030	SEEG	µV	0.0	1024	good
iEEG031	SEEG	µV	0.0	1024	good
iEEG032	SEEG	µV	0.0	1024	good
iEEG033	SEEG	µV	0.0	1024	good
iEEG034	SEEG	µV	0.0	1024	good
iEEG035	SEEG	µV	0.0	1024	good
iEEG036	SEEG	µV	0.0	1024	good
iEEG037	SEEG	µV	0.0	1024	good
iEEG038	SEEG	µV	0.0	1024	good
iEEG039	SEEG	µV	0.0	1024	good
iEEG040	SEEG	µV	0.0	1024	good
iEEG041	SEEG	µV	0.0	1024	good
iEEG042	SEEG	µV	0.0	1024	good
iEEG043	SEEG	µV	0.0	1024	good
iEEG044	SEEG	µV	0.0	1024	good
iEEG045	SEEG	µV	0.0	1024	good
iEEG046	SEEG	µV	0.0	1024	good
iEEG047	SEEG	µV	0.0	1024	good
iEEG048	SEEG	µV	0.0	1024	good
iEEG049	SEEG	µV	0.0	1024	good
iEEG050	SEEG	µV	0.0	1024	good
iEEG051	SEEG	µV	0.0	1024	good
iEEG052	SEEG	µV	0.0	1024	good
