name	type	units	status
iEEG000	seeg	µV	good
iEEG001	seeg	µV	good
iEEG002	seeg	µV	good
iEEG003	seeg	µV	good
iEEG004	seeg	µV	good
iEEG005	seeg	µV	good
iEEG006	seeg	µV	good
iEEG007	seeg	µV	good
iEEG008	seeg	µV	good
iEEG009	seeg	µV	good
iEEG010	seeg	µV	good
iEEG011	seeg	µV	good
iEEG012	seeg	µV	good
iEEG013	seeg	µV	good
iEEG014	seeg	µV	good
iEEG015	seeg	µV	good
iEEG016	seeg	µV	good
iEEG017	seeg	µV	good
iEEG018	seeg	µV	good
iEEG019	seeg	µV	good
iEEG020	seeg	µV	good
iEEG021	seeg	µV	good
iEEG022	seeg	µV	good
iEEG023	seeg	µV	good
iEEG024	seeg	µV	good
iEEG025	seeg	µV	good
iEEG026	seeg	µV	good
iEEG027	seeg	µV	good
iEEG028	seeg	µV	good
iEEG029	seeg	µV	good
iEEG030	seeg	µV	good
iEEG031	seeg	µV	good
iEEG032	seeg	µV	good
iEEG033	seeg	µV	good
iEEG034	seeg	µV	good
iEEG035	seeg	µV	good
iEEG036	seeg	µV	good
iEEG037	seeg	µV	good
iEEG038	seeg	µV	good
iEEG039	seeg	µV	good
iEEG040	seeg	µV	good
iEEG041	seeg	µV	good
iEEG042	seeg	µV	good
iEEG043	seeg	µV	good
iEEG044	seeg	µV	good
iEEG045	seeg	µV	good
iEEG046	seeg	µV	good
iEEG047	seeg	µV	good
iEEG048	seeg	µV	good
iEEG049	seeg	µV	good
iEEG050	seeg	µV	good
iEEG051	seeg	µV	good
iEEG052	seeg	µV	good
iEEG053	seeg	µV	good
iEEG054	seeg	µV	good
iEEG055	seeg	µV	good
iEEG056	seeg	µV	good
iEEG057	seeg	µV	good
iEEG058	seeg	µV	good
iEEG059	seeg	µV	good
iEEG060	seeg	µV	good
iEEG061	seeg	µV	good
iEEG062	seeg	µV	good
iEEG063	seeg	µV	good
iEEG064	seeg	µV	good
iEEG065	seeg	µV	good
iEEG066	seeg	µV	good
iEEG067	seeg	µV	good
iEEG068	seeg	µV	good
iEEG069	seeg	µV	good
iEEG070	seeg	µV	good
iEEG071	seeg	µV	good
iEEG072	seeg	µV	good
iEEG073	seeg	µV	good
iEEG074	seeg	µV	good
iEEG075	seeg	µV	good
iEEG076	seeg	µV	good
iEEG077	seeg	µV	good
iEEG078	seeg	µV	good
iEEG079	seeg	µV	good
iEEG080	seeg	µV	good
iEEG081	seeg	µV	good
iEEG082	seeg	µV	good
iEEG083	seeg	µV	good
iEEG084	seeg	µV	good
iEEG085	seeg	µV	good
iEEG086	seeg	µV	good
iEEG087	seeg	µV	good
iEEG088	seeg	µV	good
iEEG089	seeg	µV	good
iEEG090	seeg	µV	good
iEEG091	seeg	µV	good
iEEG092	seeg	µV	good
iEEG093	seeg	µV	good
iEEG094	seeg	µV	good
iEEG095	seeg	µV	good
iEEG096	seeg	µV	good
iEEG097	seeg	µV	good
iEEG098	seeg	µV	good
iEEG099	seeg	µV	good
iEEG100	seeg	µV	good
iEEG101	seeg	µV	good
iEEG102	seeg	µV	good
iEEG103	seeg	µV	good
iEEG104	seeg	µV	good
iEEG105	seeg	µV	good
iEEG106	seeg	µV	good
iEEG107	seeg	µV	good
iEEG108	seeg	µV	good
iEEG109	seeg	µV	good
iEEG110	seeg	µV	good
iEEG111	seeg	µV	good
iEEG112	seeg	µV	good
iEEG113	seeg	µV	good
iEEG114	seeg	µV	good
iEEG115	seeg	µV	good
iEEG116	seeg	µV	good
iEEG117	seeg	µV	good
iEEG118	seeg	µV	good
iEEG119	seeg	µV	good
iEEG120	seeg	µV	good
iEEG121	seeg	µV	good
iEEG122	seeg	µV	good
iEEG123	seeg	µV	good
iEEG124	seeg	µV	good
iEEG125	seeg	µV	good
iEEG126	seeg	µV	good
iEEG127	seeg	µV	good
iEEG128	seeg	µV	good
iEEG129	seeg	µV	good
iEEG130	seeg	µV	good
iEEG131	seeg	µV	good
iEEG132	seeg	µV	good
iEEG133	seeg	µV	good
iEEG134	seeg	µV	good
iEEG135	seeg	µV	good
iEEG136	seeg	µV	good
iEEG137	seeg	µV	good
iEEG138	seeg	µV	good
iEEG139	seeg	µV	good
iEEG140	seeg	µV	good
iEEG141	seeg	µV	good
iEEG142	seeg	µV	good
iEEG143	seeg	µV	good
iEEG144	seeg	µV	good
iEEG145	seeg	µV	good
iEEG146	seeg	µV	good
iEEG147	seeg	µV	good
iEEG148	seeg	µV	good
iEEG149	seeg	µV	good
iEEG150	seeg	µV	good
iEEG151	seeg	µV	good
iEEG152	seeg	µV	good
iEEG153	seeg	µV	good
iEEG154	seeg	µV	good
iEEG155	seeg	µV	good
