name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt	barista_parcel_index	barista_lobe_index
LT3a1	152	143	99	n/a	n/a	L	depth	ctx-lh-temporalpole	ctx_lh_Pole_temporal	ctx-lh-inferiortemporal	40	9
LT3a2	155	142	100	n/a	n/a	L	depth	ctx-lh-fusiform	ctx_lh_Pole_temporal	ctx-lh-inferiortemporal	40	9
LT3a3	159	141	101	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_Pole_temporal	ctx-lh-inferiortemporal	40	9
LT3a4	162	140	103	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_Pole_temporal	ctx-lh-inferiortemporal	40	9
LT3a5	165	139	104	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_Pole_temporal	ctx-lh-middletemporal	40	9
LT3a6	168	138	105	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_Pole_temporal	ctx-lh-middletemporal	40	9
LT3a7	171	137	106	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_Pole_temporal	ctx-lh-middletemporal	40	9
LT3a8	174	136	107	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_Pole_temporal	ctx-lh-middletemporal	40	9
LT3a9	177	133	108	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT3a10	180	132	110	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT2aA1	144	124	122	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
LT2aA2	147	124	123	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
LT2aA3	151	123	124	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
LT2aA4	154	123	124	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
LT2aA5	157	122	123	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
LT2aA6	163	120	124	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
LT2aA7	164	120	125	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
LT2aA8	170	121	126	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_temporal_sup	ctx-lh-superiortemporal	64	9
LT2aA9	171	121	126	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_temporal_sup	ctx-lh-superiortemporal	64	9
LT2aA10	175	120	128	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
LT2aA11	178	120	128	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
LT2aA12	182	119	129	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT2aA13	185	119	129	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT2aA14	188	119	130	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT3bHa1	149	128	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus	2	3
LT3bHa2	152	128	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus	2	3
LT3bHa3	155	128	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus	2	3
LT3bHa4	159	128	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus	2	3
LT3bHa5	162	128	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus	2	3
LT3bHa6	165	128	134	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_collat_transv_ant	ctx-lh-inferiortemporal	47	9
LT3bHa7	168	129	135	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_collat_transv_ant	ctx-lh-inferiortemporal	47	9
LT3bHa8	173	126	133	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
LT3bHa9	177	130	134	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_temporal_inf	ctx-lh-inferiortemporal	63	9
LT3bHa10	180	128	133	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_temporal_inf	ctx-lh-inferiortemporal	63	9
LT3bHa11	183	129	134	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_temporal_inf	ctx-lh-middletemporal	63	9
LT3bHa12	187	128	135	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_inf	ctx-lh-middletemporal	63	9
LT3bHa13	190	128	135	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT3bHa14	193	128	135	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal	36	9
LT1bIb1	160	104	130	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_Ins_lg_and_S_cent_ins	ctx-lh-insula	9	15
LT1bIb2	164	106	131	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_Ins_lg_and_S_cent_ins	ctx-lh-insula	9	15
LT1bIb3	167	106	132	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_Ins_lg_and_S_cent_ins	ctx-lh-insula	9	15
LT1bIb4	171	106	133	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
LT1bIb5	174	106	134	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
LT1bIb6	177	106	133	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal	45	9
LT1bIb7	180	106	136	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
LT1bIb8	183	107	138	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
