name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt
LF3cIc2	164	115	124	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula
LF3cIc3	167	114	126	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula
LF3cIc4	170	113	127	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_S_circular_insula_sup	ctx-lh-precentral
LF3cIc5	173	112	130	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_front_inf-Opercular	ctx-lh-precentral
LF3cIc6	177	110	132	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_and_S_subcentral	ctx-lh-precentral
LF3cIc7	180	109	132	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_and_S_subcentral	ctx-lh-precentral
LF3cIc8	183	107	133	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_and_S_subcentral	ctx-lh-precentral
LF3cIc9	186	106	134	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_and_S_subcentral	ctx-lh-postcentral
LF3cIc10	189	104	134	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_and_S_subcentral	ctx-lh-postcentral
LF1aCaOF1	133	129	101	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal
LF1aCaOF2	133	126	100	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF3	133	122	99	n/a	n/a	L	depth	ctx-lh-rostralanteriorcingulate	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF4	133	119	98	n/a	n/a	L	depth	ctx-lh-rostralanteriorcingulate	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF5	133	116	97	n/a	n/a	L	depth	ctx-lh-rostralanteriorcingulate	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF6	134	113	96	n/a	n/a	L	depth	ctx-lh-rostralanteriorcingulate	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF7	134	110	95	n/a	n/a	L	depth	ctx-lh-rostralanteriorcingulate	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF8	134	106	94	n/a	n/a	L	depth	ctx-lh-rostralanteriorcingulate	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF9	134	103	93	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Ant	ctx-lh-rostralanteriorcingulate
LF1aCaOF10	135	100	92	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Ant	ctx-lh-superiorfrontal
LF1aCaOF11	135	97	91	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Ant	ctx-lh-superiorfrontal
LF1aCaOF12	134	94	90	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Ant	ctx-lh-superiorfrontal
LF1aCaOF13	135	89	89	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1aCaOF14	135	87	88	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1aCaOF15	137	82	87	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1aCaOF16	136	80	86	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
RF1aCaOF1	125	129	99	n/a	n/a	R	depth	ctx-rh-medialorbitofrontal	ctx_rh_G_rectus	ctx-rh-medialorbitofrontal
RF1aCaOF2	124	126	98	n/a	n/a	R	depth	ctx-rh-medialorbitofrontal	ctx_rh_G_front_sup	ctx-rh-medialorbitofrontal
RF1aCaOF3	123	123	97	n/a	n/a	R	depth	ctx-rh-medialorbitofrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-rostralanteriorcingulate
RF1aCaOF4	121	119	95	n/a	n/a	R	depth	ctx-rh-medialorbitofrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-rostralanteriorcingulate
RF1aCaOF5	120	115	96	n/a	n/a	R	depth	ctx-rh-rostralanteriorcingulate	ctx_rh_G_and_S_cingul-Ant	ctx-rh-rostralanteriorcingulate
RF1aCaOF6	120	112	95	n/a	n/a	R	depth	ctx-rh-rostralanteriorcingulate	ctx_rh_G_and_S_cingul-Ant	ctx-rh-rostralanteriorcingulate
RF1aCaOF7	118	110	93	n/a	n/a	R	depth	ctx-rh-rostralanteriorcingulate	ctx_rh_G_and_S_cingul-Ant	ctx-rh-rostralanteriorcingulate
RF1aCaOF8	117	107	93	n/a	n/a	R	depth	ctx-rh-rostralanteriorcingulate	ctx_rh_G_and_S_cingul-Ant	ctx-rh-rostralanteriorcingulate
RF1aCaOF9	116	104	92	n/a	n/a	R	depth	ctx-rh-rostralanteriorcingulate	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
RF1aCaOF10	115	101	91	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
RF1aCaOF11	114	98	90	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
RF1aCaOF12	114	94	88	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1aCaOF13	114	91	87	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1aCaOF14	111	88	86	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1aCaOF15	109	84	87	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1aCaOF16	108	82	85	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
LF1bCb1	132	102	113	n/a	n/a	L	depth	ctx-lh-caudalanteriorcingulate	ctx_lh_S_pericallosal	ctx-lh-caudalanteriorcingulate
LF1bCb2	132	98	112	n/a	n/a	L	depth	ctx-lh-caudalanteriorcingulate	ctx_lh_G_and_S_cingul-Mid-Ant	ctx-lh-caudalanteriorcingulate
LF1bCb3	133	96	112	n/a	n/a	L	depth	ctx-lh-caudalanteriorcingulate	ctx_lh_G_and_S_cingul-Mid-Ant	ctx-lh-caudalanteriorcingulate
LF1bCb4	134	93	112	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Mid-Ant	ctx-lh-caudalanteriorcingulate
LF1bCb5	134	89	111	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Mid-Ant	ctx-lh-superiorfrontal
LF1bCb6	136	83	110	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_S_front_sup	ctx-lh-superiorfrontal
LF1bCb7	135	81	110	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_S_front_sup	ctx-lh-superiorfrontal
LF1bCb8	136	78	109	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_S_front_sup	ctx-lh-superiorfrontal
LF1bCb9	136	74	109	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1bCb10	137	71	108	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
RF1bCb1	122	103	109	n/a	n/a	R	depth	ctx-rh-caudalanteriorcingulate	ctx_rh_S_pericallosal	ctx-rh-caudalanteriorcingulate
RF1bCb2	120	101	109	n/a	n/a	R	depth	ctx-rh-caudalanteriorcingulate	ctx_rh_S_pericallosal	ctx-rh-caudalanteriorcingulate
RF1bCb3	118	95	109	n/a	n/a	R	depth	ctx-rh-caudalanteriorcingulate	ctx_rh_G_and_S_cingul-Mid-Ant	ctx-rh-caudalanteriorcingulate
RF1bCb4	116	92	109	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
RF1bCb5	116	89	109	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Ant	ctx-rh-superiorfrontal
RF1bCb6	116	87	110	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1bCb7	113	83	109	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1bCb8	111	80	108	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1bCb9	110	76	109	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1bCb10	108	73	110	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
LF1cCc1	131	99	134	n/a	n/a	L	depth	ctx-lh-posteriorcingulate	ctx_lh_S_pericallosal	ctx-lh-posteriorcingulate
LF1cCc2	130	95	135	n/a	n/a	L	depth	ctx-lh-posteriorcingulate	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-posteriorcingulate
LF1cCc3	130	93	135	n/a	n/a	L	depth	ctx-lh-posteriorcingulate	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-posteriorcingulate
LF1cCc4	132	90	136	n/a	n/a	L	depth	ctx-lh-posteriorcingulate	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-posteriorcingulate
LF1cCc5	134	87	136	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-posteriorcingulate
LF1cCc6	133	84	137	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-posteriorcingulate
LF1cCc7	134	81	137	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-superiorfrontal
LF1cCc8	133	78	138	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_and_S_cingul-Mid-Post	ctx-lh-superiorfrontal
LF1cCc9	135	73	138	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1cCc10	136	70	139	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1cCc11	136	66	140	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
LF1cCc12	137	62	140	n/a	n/a	L	depth	ctx-lh-superiorfrontal	ctx_lh_G_front_sup	ctx-lh-superiorfrontal
RF1cCc1	121	102	134	n/a	n/a	R	depth	ctx-rh-posteriorcingulate	ctx_rh_S_pericallosal	ctx-rh-posteriorcingulate
RF1cCc2	119	99	135	n/a	n/a	R	depth	ctx-rh-posteriorcingulate	ctx_rh_S_pericallosal	ctx-rh-posteriorcingulate
RF1cCc3	117	95	135	n/a	n/a	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-posteriorcingulate
RF1cCc4	116	92	135	n/a	n/a	R	depth	ctx-rh-posteriorcingulate	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-posteriorcingulate
RF1cCc5	115	89	135	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-superiorfrontal
RF1cCc6	113	86	134	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-superiorfrontal
RF1cCc7	112	83	134	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-superiorfrontal
RF1cCc8	112	81	133	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_and_S_cingul-Mid-Post	ctx-rh-superiorfrontal
RF1cCc9	109	76	136	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
RF1cCc10	108	73	136	n/a	n/a	R	depth	ctx-rh-superiorfrontal	ctx_rh_G_front_sup	ctx-rh-superiorfrontal
