name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt
LT2aA1	147	139	117	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala
LT2aA2	151	138	116	n/a	n/a	L	depth	ctx-lh-entorhinal	ctx_lh_G_oc-temp_med-Parahip	ctx-lh-superiortemporal
LT2aA3	155	139	116	n/a	n/a	L	depth	ctx-lh-temporalpole	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal
LT2aA4	159	138	116	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal
LT2aA5	162	137	116	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal
LT2aA6	165	136	115	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal
LT2aA7	169	136	115	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal
LT2aA8	172	136	115	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal
LT2aA9	175	135	115	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT2aA10	179	134	115	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT2aA11	183	134	115	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT2aA12	185	133	115	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT3Ha1	149	137	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus
LT3Ha2	152	137	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus
LT3Ha3	156	137	134	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus
LT3Ha4	159	137	135	n/a	n/a	L	depth	ctx-lh-parahippocampal	ctx_lh_S_oc-temp_med_and_Lingual	ctx-lh-parahippocampal
LT3Ha5	162	137	135	n/a	n/a	L	depth	ctx-lh-fusiform	ctx_lh_S_oc-temp_med_and_Lingual	ctx-lh-fusiform
LT3Ha6	166	138	135	n/a	n/a	L	depth	ctx-lh-fusiform	ctx_lh_S_collat_transv_ant	ctx-lh-fusiform
LT3Ha7	169	138	135	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_collat_transv_ant	ctx-lh-inferiortemporal
LT3Ha8	172	139	136	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_collat_transv_ant	ctx-lh-inferiortemporal
LT3Ha9	177	138	136	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_temporal_inf	ctx-lh-inferiortemporal
LT3Ha10	180	137	135	n/a	n/a	L	depth	ctx-lh-inferiortemporal	ctx_lh_S_temporal_inf	ctx-lh-inferiortemporal
LT3Ha11	183	137	135	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_inf	ctx-lh-middletemporal
LT3Ha12	187	136	134	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT3Ha13	189	136	134	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT3Ha14	192	136	134	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT1aIb1	164	131	123	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_S_circular_insula_inf	ctx-lh-insula
LT1aIb2	166	130	123	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal
LT1aIb3	169	130	123	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal
LT1aIb4	173	129	124	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_temporal_sup	ctx-lh-superiortemporal
LT1aIb5	176	128	124	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_temporal_sup	ctx-lh-superiortemporal
LT1aIb6	180	128	124	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT1aIb7	184	127	124	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT1aIb8	187	127	125	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT1aIb9	190	125	125	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT1aIb10	192	125	125	n/a	n/a	n/a	depth	Unknown	Unknown	Unknown
LF3aOFa1	135	127	80	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal
LF3aOFa2	137	126	82	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_orbital	ctx-lh-medialorbitofrontal
LF3aOFa3	140	125	84	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal
LF3aOFa4	143	124	86	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal
LF3aOFa5	146	123	86	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal
LF3aOFa6	149	122	88	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal
LF3aOFa7	152	121	90	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal
LF3aOFa8	155	120	91	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal
LF3aOFa9	157	119	92	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal
LF3aOFa10	160	117	94	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal
LF3aOFa11	163	116	95	n/a	n/a	L	depth	ctx-lh-parsorbitalis	ctx_lh_S_orbital-H_Shaped	ctx-lh-parsorbitalis
LF3aOFa12	166	115	97	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_Lat_Fis-ant-Horizont	ctx-lh-parsorbitalis
LF3aOFa13	169	113	98	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis
LF3aOFa14	172	112	100	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis
LF3aOFa15	175	111	100	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis
LF3aOFa16	178	110	101	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis
LF3bIa1	152	115	103	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_circular_insula_ant	ctx-lh-insula
LF3bIa2	155	114	104	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_circular_insula_ant	ctx-lh-insula
LF3bIa3	158	113	105	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula
LF3bIa4	161	113	106	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis
LF3bIa5	164	112	106	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis
LF3bIa6	167	111	108	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_Lat_Fis-ant-Vertical	ctx-lh-parstriangularis
LF3bIa7	170	110	109	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis
LF3bIa8	173	109	110	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis
LF3bIa9	176	109	112	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis
LF3bIa10	179	108	113	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis
LF3bIa11	181	107	115	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis
LF3bIa12	184	106	116	n/a	n/a	n/a	depth	Unknown	Unknown	Unknown
LT2bHb1	151	133	148	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus
LT2bHb2	154	132	148	n/a	n/a	n/a	depth	Left-Hippocampus	Left-Hippocampus	Left-Hippocampus
LT2bHb3	158	132	150	n/a	n/a	n/a	depth	Left-Inf-Lat-Vent	Left-Inf-Lat-Vent	Left-Inf-Lat-Vent
LT2bHb4	161	132	151	n/a	n/a	n/a	depth	Left-Inf-Lat-Vent	ctx_lh_S_oc-temp_med_and_Lingual	ctx-lh-parahippocampal
LT2bHb5	163	132	151	n/a	n/a	L	depth	ctx-lh-fusiform	ctx_lh_S_oc-temp_med_and_Lingual	ctx-lh-fusiform
LT2bHb6	169	132	153	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT2bHb7	171	132	153	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT2bHb8	174	132	155	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_G_temporal_middle	ctx-lh-middletemporal
LT2bHb9	178	131	156	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal
LT2bHb10	181	131	156	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal
LT2bHb11	185	131	157	n/a	n/a	L	depth	ctx-lh-bankssts	ctx_lh_S_temporal_sup	ctx-lh-middletemporal
LT2bHb12	188	130	157	n/a	n/a	L	depth	ctx-lh-bankssts	ctx_lh_S_temporal_sup	ctx-lh-middletemporal
LT1cCd1	126	105	162	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_G_cingul-Post-dorsal	ctx-lh-isthmuscingulate
LT1cCd2	129	105	162	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_G_cingul-Post-dorsal	ctx-lh-isthmuscingulate
LT1cCd3	133	108	161	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_S_pericallosal	ctx-lh-isthmuscingulate
LT1cCd4	136	106	164	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_S_subparietal	ctx-lh-isthmuscingulate
LT1cCd5	139	106	166	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_S_subparietal	ctx-lh-isthmuscingulate
LT1cCd6	144	112	168	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_parieto_occipital	ctx-lh-precuneus
LT1cCd7	146	112	169	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_parieto_occipital	ctx-lh-precuneus
LT1cCd8	149	113	170	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_parieto_occipital	ctx-lh-precuneus
LT1cCd9	162	111	170	n/a	n/a	L	depth	ctx-lh-inferiorparietal	ctx_lh_S_temporal_sup	ctx-lh-inferiorparietal
LT1cCd10	162	111	169	n/a	n/a	L	depth	ctx-lh-inferiorparietal	ctx_lh_S_temporal_sup	ctx-lh-inferiorparietal
LT1cCd11	163	112	169	n/a	n/a	L	depth	ctx-lh-inferiorparietal	ctx_lh_S_temporal_sup	ctx-lh-inferiorparietal
LT1cCd12	167	113	169	n/a	n/a	L	depth	ctx-lh-inferiorparietal	ctx_lh_S_temporal_sup	ctx-lh-inferiorparietal
LT1cCd13	171	114	170	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-supramarginal
LT1cCd14	175	114	171	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-supramarginal
LT1cCd15	179	115	172	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal
LT1cCd16	182	116	172	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal
LT1bId1	161	124	137	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_S_circular_insula_inf	ctx-lh-insula
LT1bId2	164	123	138	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal
LT1bId3	167	122	139	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_circular_insula_inf	ctx-lh-superiortemporal
LT1bId4	171	122	140	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_temporal_transverse	ctx-lh-superiortemporal
LT1bId5	173	121	141	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_S_temporal_transverse	ctx-lh-superiortemporal
LT1bId6	177	120	142	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-superiortemporal
LT1bId7	180	119	143	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-superiortemporal
LT1bId8	183	117	144	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-superiortemporal
LT1bId9	187	117	145	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal
LT1bId10	190	116	146	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal
LF3cIc1	162	117	124	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula
