name	type	units	low_cutoff	high_cutoff	status
LT2aA1	SEEG	µV	0.0	1024	good
LT2aA2	SEEG	µV	0.0	1024	good
LT2aA3	SEEG	µV	0.0	1024	good
LT2aA4	SEEG	µV	0.0	1024	good
LT2aA5	SEEG	µV	0.0	1024	good
LT2aA6	SEEG	µV	0.0	1024	good
LT2aA7	SEEG	µV	0.0	1024	good
LT2aA8	SEEG	µV	0.0	1024	good
LT2aA9	SEEG	µV	0.0	1024	good
LT2aA10	SEEG	µV	0.0	1024	good
LT2aA11	SEEG	µV	0.0	1024	good
LT2aA12	SEEG	µV	0.0	1024	good
LT3Ha1	SEEG	µV	0.0	1024	good
LT3Ha2	SEEG	µV	0.0	1024	good
LT3Ha3	SEEG	µV	0.0	1024	good
LT3Ha4	SEEG	µV	0.0	1024	good
LT3Ha5	SEEG	µV	0.0	1024	good
LT3Ha6	SEEG	µV	0.0	1024	good
LT3Ha7	SEEG	µV	0.0	1024	good
LT3Ha8	SEEG	µV	0.0	1024	good
LT3Ha9	SEEG	µV	0.0	1024	good
LT3Ha10	SEEG	µV	0.0	1024	bad
LT3Ha11	SEEG	µV	0.0	1024	good
LT3Ha12	SEEG	µV	0.0	1024	good
LT3Ha13	SEEG	µV	0.0	1024	good
LT3Ha14	SEEG	µV	0.0	1024	good
LT1aIb1	SEEG	µV	0.0	1024	good
LT1aIb2	SEEG	µV	0.0	1024	good
LT1aIb3	SEEG	µV	0.0	1024	good
LT1aIb4	SEEG	µV	0.0	1024	good
LT1aIb5	SEEG	µV	0.0	1024	good
LT1aIb6	SEEG	µV	0.0	1024	good
LT1aIb7	SEEG	µV	0.0	1024	good
LT1aIb8	SEEG	µV	0.0	1024	good
LT1aIb9	SEEG	µV	0.0	1024	good
LT1aIb10	SEEG	µV	0.0	1024	good
LF3aOFa1	SEEG	µV	0.0	1024	good
LF3aOFa2	SEEG	µV	0.0	1024	good
LF3aOFa3	SEEG	µV	0.0	1024	good
LF3aOFa4	SEEG	µV	0.0	1024	good
LF3aOFa5	SEEG	µV	0.0	1024	good
LF3aOFa6	SEEG	µV	0.0	1024	good
LF3aOFa7	SEEG	µV	0.0	1024	good
LF3aOFa8	SEEG	µV	0.0	1024	good
LF3aOFa9	SEEG	µV	0.0	1024	good
LF3aOFa10	SEEG	µV	0.0	1024	good
LF3aOFa11	SEEG	µV	0.0	1024	good
LF3aOFa12	SEEG	µV	0.0	1024	good
LF3aOFa13	SEEG	µV	0.0	1024	good
LF3aOFa14	SEEG	µV	0.0	1024	good
LF3aOFa15	SEEG	µV	0.0	1024	good
LF3aOFa16	SEEG	µV	0.0	1024	good
LF3bIa1	SEEG	µV	0.0	1024	good
LF3bIa2	SEEG	µV	0.0	1024	good
LF3bIa3	SEEG	µV	0.0	1024	good
LF3bIa4	SEEG	µV	0.0	1024	good
LF3bIa5	SEEG	µV	0.0	1024	good
LF3bIa6	SEEG	µV	0.0	1024	good
LF3bIa7	SEEG	µV	0.0	1024	good
LF3bIa8	SEEG	µV	0.0	1024	good
LF3bIa9	SEEG	µV	0.0	1024	good
LF3bIa10	SEEG	µV	0.0	1024	good
LF3bIa11	SEEG	µV	0.0	1024	good
LF3bIa12	SEEG	µV	0.0	1024	good
LT2bHb1	SEEG	µV	0.0	1024	good
LT2bHb2	SEEG	µV	0.0	1024	good
LT2bHb3	SEEG	µV	0.0	1024	good
LT2bHb4	SEEG	µV	0.0	1024	good
