name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt	barista_parcel_index	barista_lobe_index
F3aOFa1	131	118	63	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal	30	5
F3aOFa2	135	117	64	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal	30	5
F3aOFa3	137	117	66	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal	23	5
F3aOFa4	140	115	68	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal	23	5
F3aOFa5	145	114	69	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal	23	5
F3aOFa6	148	113	70	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3aOFa7	151	112	71	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3aOFa8	154	111	72	n/a	n/a	L	depth	ctx-lh-parsorbitalis	ctx_lh_G_orbital	ctx-lh-rostralmiddlefrontal	23	5
F3aOFa9	156	110	74	n/a	n/a	L	depth	ctx-lh-parsorbitalis	ctx_lh_G_orbital	ctx-lh-rostralmiddlefrontal	23	5
F3aOFa10	160	109	76	n/a	n/a	L	depth	ctx-lh-parsorbitalis	ctx_lh_G_orbital	ctx-lh-rostralmiddlefrontal	23	5
F3aOFa11	164	108	77	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_Lat_Fis-ant-Horizont	ctx-lh-parsorbitalis	37	5
F3aOFa12	166	107	77	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Orbital	ctx-lh-parstriangularis	16	5
F3aOFa13	169	106	78	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Orbital	ctx-lh-parstriangularis	16	5
F3aOFa14	172	106	79	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3bOFb1	132	125	72	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal	30	5
F3bOFb2	135	123	73	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal	23	5
F3bOFb3	138	121	74	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital_med-olfact	ctx-lh-lateralorbitofrontal	55	5
F3bOFb4	141	119	76	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_orbital	ctx-lh-lateralorbitofrontal	23	5
F3bOFb5	144	118	77	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3bOFb6	147	116	78	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3bOFb7	151	114	80	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3bOFb8	154	112	81	n/a	n/a	L	depth	ctx-lh-parsorbitalis	ctx_lh_S_orbital-H_Shaped	ctx-lh-parsorbitalis	53	5
F3bOFb9	157	109	82	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_Lat_Fis-ant-Horizont	ctx-lh-parsorbitalis	37	5
F3bOFb10	161	108	84	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_Lat_Fis-ant-Horizont	ctx-lh-parstriangularis	37	5
F3bOFb11	164	107	85	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3bOFb12	167	105	86	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3bOFb13	170	104	87	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3bOFb14	172	102	88	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3bOFb15	175	101	88	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3bOFb16	177	100	89	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3cOFc1	129	119	81	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal	30	5
F3cOFc2	133	116	82	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_G_rectus	ctx-lh-medialorbitofrontal	30	5
F3cOFc3	136	115	84	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_S_suborbital	ctx-lh-medialorbitofrontal	61	5
F3cOFc4	138	113	84	n/a	n/a	L	depth	ctx-lh-medialorbitofrontal	ctx_lh_S_suborbital	ctx-lh-medialorbitofrontal	61	5
F3cOFc5	146	112	86	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3cOFc6	147	112	88	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3cOFc7	149	111	88	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_orbital-H_Shaped	ctx-lh-lateralorbitofrontal	53	5
F3cOFc8	153	108	91	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_S_circular_insula_ant	ctx-lh-parsorbitalis	44	5
F3cOFc9	156	107	92	n/a	n/a	L	depth	ctx-lh-lateralorbitofrontal	ctx_lh_G_front_inf-Orbital	ctx-lh-parsorbitalis	16	5
F3cOFc10	160	105	93	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3cOFc11	164	104	95	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_G_front_inf-Triangul	ctx-lh-parstriangularis	17	5
F3cOFc12	167	102	96	n/a	n/a	L	depth	ctx-lh-parstriangularis	ctx_lh_Lat_Fis-ant-Vertical	ctx-lh-parstriangularis	38	5
F3cOFc13	170	100	98	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_Lat_Fis-ant-Vertical	ctx-lh-parsopercularis	38	5
F3cOFc14	174	100	99	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis	15	5
F3cOFc15	177	98	101	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis	15	5
F3cOFc16	181	97	101	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis	15	5
T2A1	141	126	119	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A2	145	126	119	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A3	148	126	119	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A4	151	126	119	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A5	155	126	119	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A6	158	125	119	n/a	n/a	n/a	depth	Left-Amygdala	Left-Amygdala	Left-Amygdala	1	1
T2A7	161	127	121	n/a	n/a	L	depth	ctx-lh-fusiform	ctx_lh_S_collat_transv_ant	ctx-lh-inferiortemporal	47	9
