name	x	y	z	size	material	hemisphere	type	region_desikan	region_destrieux	region_dkt	barista_parcel_index	barista_lobe_index
T1b1	174	121	138	n/a	n/a	L	depth	ctx-lh-transversetemporal	ctx_lh_G_temp_sup-G_T_transv	ctx-lh-transversetemporal	31	9
T1b2	177	123	138	n/a	n/a	L	depth	ctx-lh-transversetemporal	ctx_lh_S_temporal_transverse	ctx-lh-superiortemporal	65	9
T1b3	181	125	138	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1b4	183	126	138	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1b5	186	128	138	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
T1b6	188	129	138	n/a	n/a	L	depth	ctx-lh-middletemporal	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
T1aIx1	161	129	117	n/a	n/a	L	depth	ctx-lh-insula	ctx_lh_G_insular_short	ctx-lh-insula	20	15
T1aIx2	163	129	116	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_insular_short	ctx-lh-superiortemporal	20	9
T1aIx3	167	128	118	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal	33	9
T1aIx4	171	128	118	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal	33	9
T1aIx5	174	127	118	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_polar	ctx-lh-superiortemporal	33	9
T1aIx6	179	128	119	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1aIx7	181	126	119	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1aIx8	185	126	120	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
F3a1	166	118	117	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis	15	5
F3a2	169	118	116	n/a	n/a	L	depth	ctx-lh-parsopercularis	ctx_lh_G_front_inf-Opercular	ctx-lh-parsopercularis	15	5
F3a3	172	117	116	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_front_inf-Opercular	ctx-lh-precentral	15	5
F3a4	175	116	116	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_front_inf-Opercular	ctx-lh-precentral	15	5
F3a5	179	116	115	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_front_inf-Opercular	ctx-lh-precentral	15	5
F3a6	182	115	115	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_front_inf-Opercular	ctx-lh-precentral	15	5
F3b1	165	111	128	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_S_precentral-inf-part	ctx-lh-precentral	59	5
F3b2	167	111	127	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_S_precentral-inf-part	ctx-lh-precentral	59	5
F3b3	171	110	126	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_S_precentral-inf-part	ctx-lh-precentral	59	5
F3b4	174	109	126	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_S_precentral-inf-part	ctx-lh-precentral	59	5
F3b5	178	106	124	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_precentral	ctx-lh-precentral	28	5
F3b6	182	108	124	n/a	n/a	L	depth	ctx-lh-precentral	ctx_lh_G_precentral	ctx-lh-precentral	28	5
P2a1	163	101	139	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_central	ctx-lh-postcentral	42	7
P2a2	166	103	139	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2a3	170	103	139	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2a4	173	103	139	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2a5	177	104	139	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2a6	180	104	139	n/a	n/a	n/a	depth	Unknown	Unknown	Unknown	0	0
P2a7	183	105	139	n/a	n/a	n/a	depth	Unknown	Unknown	Unknown	0	0
P2a8	187	105	139	n/a	n/a	n/a	depth	Unknown	Unknown	Unknown	0	0
T1c1	176	118	153	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-superiortemporal	34	9
T1c2	179	118	153	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-superiortemporal	34	9
T1c3	183	117	153	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-superiortemporal	34	9
T1c4	186	117	153	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1c5	190	117	153	n/a	n/a	L	depth	ctx-lh-superiortemporal	ctx_lh_G_temp_sup-Lateral	ctx-lh-superiortemporal	32	9
T1c6	193	116	153	n/a	n/a	n/a	depth	Unknown	Unknown	Unknown	0	0
T1d1	150	119	172	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_calcarine	ctx-lh-precuneus	41	7
T1d2	153	119	172	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_calcarine	ctx-lh-precuneus	41	7
T1d3	157	117	172	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_calcarine	ctx-lh-precuneus	41	7
T1d4	160	116	171	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_calcarine	ctx-lh-precuneus	41	7
T1d5	164	115	172	n/a	n/a	L	depth	ctx-lh-bankssts	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
T1d6	166	114	171	n/a	n/a	L	depth	ctx-lh-bankssts	ctx_lh_S_temporal_sup	ctx-lh-middletemporal	64	9
T1d7	170	112	170	n/a	n/a	L	depth	ctx-lh-inferiorparietal	ctx_lh_S_temporal_sup	ctx-lh-superiortemporal	64	7
T1d8	173	112	171	n/a	n/a	L	depth	ctx-lh-inferiorparietal	ctx_lh_S_temporal_sup	ctx-lh-superiortemporal	64	7
T1d9	175	109	170	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-supramarginal	34	7
T1d10	178	108	170	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_temp_sup-Plan_tempo	ctx-lh-supramarginal	34	7
T1d11	183	107	170	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
T1d12	187	107	170	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2c1	152	82	158	n/a	n/a	L	depth	ctx-lh-paracentral	ctx_lh_S_cingul-Marginalis	ctx-lh-paracentral	43	5
P2c2	153	84	159	n/a	n/a	L	depth	ctx-lh-paracentral	ctx_lh_S_cingul-Marginalis	ctx-lh-precuneus	43	5
P2c3	159	83	158	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c4	161	84	158	n/a	n/a	L	depth	ctx-lh-superiorparietal	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c5	165	84	158	n/a	n/a	L	depth	ctx-lh-superiorparietal	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c6	169	85	158	n/a	n/a	L	depth	ctx-lh-superiorparietal	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c7	172	85	158	n/a	n/a	L	depth	ctx-lh-superiorparietal	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c8	175	86	158	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c9	178	86	158	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2c10	182	87	158	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_postcentral	ctx-lh-postcentral	58	7
P2b1	161	95	144	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_central	ctx-lh-postcentral	42	7
P2b2	164	95	144	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_central	ctx-lh-postcentral	42	7
P2b3	167	94	144	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_central	ctx-lh-postcentral	42	7
P2b4	171	94	143	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_central	ctx-lh-postcentral	42	7
P2b5	174	92	143	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_S_central	ctx-lh-postcentral	42	7
P2b6	178	91	145	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2b7	182	92	144	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2b8	185	91	144	n/a	n/a	L	depth	ctx-lh-postcentral	ctx_lh_G_postcentral	ctx-lh-postcentral	27	7
P2d1	143	114	172	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_G_precuneus	ctx-lh-precuneus	29	7
P2d2	145	112	171	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_G_cingul-Post-dorsal	ctx-lh-precuneus	14	7
P2d3	149	110	171	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_parieto_occipital	ctx-lh-precuneus	56	7
P2d4	152	109	171	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_parieto_occipital	ctx-lh-precuneus	56	7
P2d5	155	107	171	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_parieto_occipital	ctx-lh-precuneus	56	7
P2d6	158	105	171	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d7	162	103	170	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d8	164	101	169	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d9	167	100	168	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d10	170	98	168	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d11	173	96	168	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d12	176	94	168	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d13	178	94	167	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P2d14	182	91	167	n/a	n/a	L	depth	ctx-lh-supramarginal	ctx_lh_G_pariet_inf-Supramar	ctx-lh-supramarginal	25	7
P1C1	137	108	159	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_G_cingul-Post-dorsal	ctx-lh-isthmuscingulate	14	13
P1C2	139	106	159	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_G_cingul-Post-dorsal	ctx-lh-isthmuscingulate	14	13
P1C3	140	105	161	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_G_cingul-Post-dorsal	ctx-lh-isthmuscingulate	14	13
P1C4	145	101	163	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_S_subparietal	ctx-lh-isthmuscingulate	62	13
P1C5	147	99	165	n/a	n/a	L	depth	ctx-lh-isthmuscingulate	ctx_lh_S_subparietal	ctx-lh-isthmuscingulate	62	13
P1C6	150	97	166	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_subparietal	ctx-lh-precuneus	62	7
P1C7	152	94	166	n/a	n/a	L	depth	ctx-lh-precuneus	ctx_lh_S_subparietal	ctx-lh-precuneus	62	7
P1C8	157	93	168	n/a	n/a	L	depth	ctx-lh-superiorparietal	ctx_lh_S_postcentral	ctx-lh-superiorparietal	58	7
