name	type	units	low_cutoff	high_cutoff	status
T2bH1	SEEG	µV	0.0	1024	good
T2bH2	SEEG	µV	0.0	1024	good
T2bH3	SEEG	µV	0.0	1024	bad
T2bH4	SEEG	µV	0.0	1024	good
T2bH5	SEEG	µV	0.0	1024	good
T2bH6	SEEG	µV	0.0	1024	good
T2bH7	SEEG	µV	0.0	1024	good
T2bH8	SEEG	µV	0.0	1024	good
T2bH9	SEEG	µV	0.0	1024	good
T2bH10	SEEG	µV	0.0	1024	good
T2bH11	SEEG	µV	0.0	1024	good
T2bH12	SEEG	µV	0.0	1024	good
T2bH13	SEEG	µV	0.0	1024	good
T2bH14	SEEG	µV	0.0	1024	good
T2bH15	SEEG	µV	0.0	1024	good
T2bH16	SEEG	µV	0.0	1024	good
T2aA1	SEEG	µV	0.0	1024	good
T2aA2	SEEG	µV	0.0	1024	good
T2aA3	SEEG	µV	0.0	1024	good
T2aA4	SEEG	µV	0.0	1024	good
T2aA5	SEEG	µV	0.0	1024	bad
T2aA6	SEEG	µV	0.0	1024	bad
T2aA7	SEEG	µV	0.0	1024	good
T2aA8	SEEG	µV	0.0	1024	good
T2aA9	SEEG	µV	0.0	1024	good
T2aA10	SEEG	µV	0.0	1024	good
T2aA11	SEEG	µV	0.0	1024	good
T2aA12	SEEG	µV	0.0	1024	good
T2aA13	SEEG	µV	0.0	1024	good
T2aA14	SEEG	µV	0.0	1024	good
T1cIf1	SEEG	µV	0.0	1024	good
T1cIf2	SEEG	µV	0.0	1024	good
T1cIf3	SEEG	µV	0.0	1024	good
T1cIf4	SEEG	µV	0.0	1024	good
T1cIf5	SEEG	µV	0.0	1024	good
T1cIf6	SEEG	µV	0.0	1024	good
T1cIf7	SEEG	µV	0.0	1024	good
T1cIf8	SEEG	µV	0.0	1024	good
T1cIf9	SEEG	µV	0.0	1024	good
T1cIf10	SEEG	µV	0.0	1024	good
T1cIf11	SEEG	µV	0.0	1024	good
T1cIf12	SEEG	µV	0.0	1024	good
T1bId1	SEEG	µV	0.0	1024	good
T1bId2	SEEG	µV	0.0	1024	good
T1bId3	SEEG	µV	0.0	1024	good
T1bId4	SEEG	µV	0.0	1024	good
T1bId5	SEEG	µV	0.0	1024	good
T1bId6	SEEG	µV	0.0	1024	good
T1bId7	SEEG	µV	0.0	1024	good
T1bId8	SEEG	µV	0.0	1024	good
T1bId9	SEEG	µV	0.0	1024	good
T1bId10	SEEG	µV	0.0	1024	good
T1aIa1	SEEG	µV	0.0	1024	good
T1aIa2	SEEG	µV	0.0	1024	good
T1aIa3	SEEG	µV	0.0	1024	good
T1aIa4	SEEG	µV	0.0	1024	good
T1aIa5	SEEG	µV	0.0	1024	good
T1aIa6	SEEG	µV	0.0	1024	good
T1aIa7	SEEG	µV	0.0	1024	good
T1aIa8	SEEG	µV	0.0	1024	good
T1aIa9	SEEG	µV	0.0	1024	good
T1aIa10	SEEG	µV	0.0	1024	good
P2cCc1	SEEG	µV	0.0	1024	good
P2cCc2	SEEG	µV	0.0	1024	good
P2cCc3	SEEG	µV	0.0	1024	good
P2cCc4	SEEG	µV	0.0	1024	good
P2cCc5	SEEG	µV	0.0	1024	good
